举,3,86,92,248,247,36,11,4
丿,1,26,59,103,229,0,0,2
乀,1,58,55,225,215,26,8,2
乂,1,59,54,232,211,24,9,2
乃,1,57,54,223,211,21,12,2
久,1,59,61,232,239,27,15,2
乆,1,61,61,237,237,32,10,2
乇,1,58,56,226,219,21,14,2
么,2,75,67,219,213,26,9,3
义,2,74,74,243,246,40,6,3
乊,3,85,50,201,131,4,0,4
之,1,59,57,231,223,29,9,2
乌,2,96,69,230,247,38,7,3
乍,1,59,61,230,237,28,15,2
乎,3,88,91,242,231,23,20,4
乏,1,61,59,238,230,28,14,2
乐,3,95,105,231,239,32,9,4
乑,3,105,99,240,230,22,18,4
乒,2,92,59,248,236,36,8,4
乓,2,86,58,249,238,36,9,4
乔,3,93,105,247,244,36,11,4
乕,1,62,60,243,236,19,24,4
乖,3,104,116,235,234,20,20,4
乗,1,62,60,242,234,19,23,6
乘,2,85,80,241,238,19,23,3
乙,1,53,51,208,200,16,9,2
乚,1,47,54,184,210,11,7,2
乛,1,56,15,221,61,0,0,2
乜,1,61,56,240,219,27,11,2
九,1,61,58,239,228,29,12,2
乞,2,106,68,233,235,27,15,3
也,1,61,59,240,229,27,15,2
习,3,105,93,204,221,27,4,4
乡,1,54,63,211,245,32,9,2
乢,2,54,109,232,219,21,17,3
乣,2,60,112,241,220,25,16,3
乤,3,137,79,234,235,35,8,4
乥,4,136,73,218,228,29,6,5
书,2,75,77,236,249,38,8,4
乧,4,144,85,240,236,34,10,5
乨,3,86,115,243,230,25,18,5
乩,2,56,118,229,233,23,16,4
乪,2,96,101,250,223,30,11,7
乫,3,114,88,239,236,33,13,5
乭,2,116,61,237,236,34,10,4
买,5,163,112,235,236,30,10,6
乱,2,58,117,240,233,25,17,4
乳,6,121,138,244,234,25,18,7
乴,3,122,93,234,235,21,22,4
乵,4,100,132,237,242,24,20,5
乶,2,119,61,241,239,32,13,7
乷,8,175,148,229,237,29,12,9
乸,4,110,132,247,231,30,15,8
乺,3,126,100,244,236,32,13,5
乼,5,138,107,235,238,31,12,6
乾,2,90,100,244,244,23,22,5
乿,7,129,169,242,239,24,21,8
亀,1,62,61,243,240,24,22,11
亃,5,109,170,247,242,29,17,6
亄,7,180,133,247,244,32,14,9
亅,1,14,58,57,225,0,0,2
了,1,51,56,200,218,20,7,2
亇,2,77,71,233,243,37,6,3
予,1,58,58,226,227,20,17,2
争,1,61,61,238,239,24,20,5
事,1,62,62,242,244,23,23,6
二,2,103,12,229,167,10,7,3
亍,2,109,45,232,222,21,14,3
于,1,59,56,232,218,18,17,2
亏,2,108,52,245,232,36,6,3
亐,1,63,61,246,238,36,8,2
云,2,104,43,231,212,19,14,3
互,1,62,55,241,216,22,15,3
亓,2,110,50,246,236,36,7,3
五,1,59,51,230,198,16,15,3
井,1,60,59,234,229,23,16,3
亖,4,201,24,229,213,23,12,5
亘,3,155,47,241,220,20,18,6
亚,2,74,81,245,212,29,9,4
些,4,160,82,242,230,24,20,5
亜,1,61,56,239,219,18,19,7
亝,5,217,67,236,223,24,17,6
亟,3,136,78,236,217,19,18,6
亠,1,59,22,232,87,0,0,2
亡,1,60,55,235,215,26,12,2
亢,2,118,54,236,233,26,15,3
交,4,158,83,229,235,27,15,5
亥,2,118,83,232,235,24,16,3
亦,3,92,114,231,237,24,18,4
产,3,132,77,243,248,39,8,4
亨,3,151,56,235,241,24,20,5
亩,3,120,62,248,247,38,10,8
亪,4,145,97,243,248,35,11,5
享,3,159,57,241,242,26,19,5
京,4,145,93,235,241,26,18,6
亭,4,196,58,231,242,22,21,6
亮,5,201,83,237,243,23,21,7
亲,4,157,101,243,247,36,10,5
亳,4,216,59,239,235,22,21,6
亵,5,194,103,246,249,35,13,6
亶,5,236,63,246,238,23,24,10
亸,5,122,134,246,245,32,14,11
亹,5,200,73,246,236,21,25,11
人,1,60,57,233,222,30,8,2
亻,1,29,60,113,236,0,0,2
亼,2,110,53,232,221,28,9,3
亽,2,83,54,244,218,36,6,3
亿,2,64,117,245,246,37,10,3
什,2,64,124,238,243,29,16,3
仁,3,101,73,242,236,34,12,4
仂,2,65,121,236,236,27,17,3
仃,2,59,116,242,239,30,15,3
仄,2,111,107,241,225,23,16,3
仅,2,69,120,246,244,37,10,4
仆,2,48,119,235,233,26,15,3
仇,2,70,122,252,243,31,17,3
仈,3,71,160,248,239,31,14,4
仉,2,72,119,250,241,36,10,3
今,2,105,59,239,240,25,18,4
介,3,91,107,241,241,30,14,4
仌,2,117,67,243,241,37,7,3
仍,2,65,120,236,243,27,18,3
从,2,65,112,244,222,27,13,3
仏,2,65,118,240,237,29,14,3
仑,2,102,71,249,236,39,8,3
仒,3,106,61,243,240,39,7,4
仓,2,105,73,250,241,39,9,3
仔,2,64,119,241,237,27,18,3
仕,2,64,118,242,236,27,17,3
他,2,66,120,248,239,25,21,3
仗,2,66,124,241,242,26,20,3
付,3,76,134,241,231,30,12,4
仙,2,58,118,234,233,26,16,3
仚,2,110,64,241,235,32,12,3
仞,3,75,143,234,244,25,20,4
仟,2,65,119,243,233,24,20,3
